Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,SeasonKey,Weight
27/08/17,Fiorentina,Sampdoria,1,2,A,2017-18,17,0.7
27/08/17,Milan,Cagliari,2,1,H,2017-18,17,0.7
27/08/17,Napoli,Atalanta,3,1,H,2017-18,17,0.7
27/08/17,Spal,Udinese,3,2,H,2017-18,17,0.7
27/08/17,Torino,Sassuolo,3,0,H,2017-18,17,0.7
09/09/17,Juventus,Chievo,3,0,H,2017-18,17,0.7
10/09/17,Atalanta,Sassuolo,2,1,H,2017-18,17,0.7
10/09/17,Benevento,Torino,0,1,A,2017-18,17,0.7
10/09/17,Bologna,Napoli,0,3,A,2017-18,17,0.7
10/09/17,Cagliari,Crotone,1,0,H,2017-18,17,0.7
10/09/17,Inter,Spal,2,0,H,2017-18,17,0.7
10/09/17,Lazio,Milan,4,1,H,2017-18,17,0.7
10/09/17,Udinese,Genoa,1,0,H,2017-18,17,0.7
10/09/17,Verona,Fiorentina,0,5,A,2017-18,17,0.7
